ID;Date_identification;Categorie;Description_risque;Source_menace;Actif_concerne;Probabilite_inherente;Impact_inherent;Niveau_inherent;Mesures_actuelles;Probabilite_residuelle;Impact_residuel;Niveau_residuel;Strategie_traitement;Owner;Date_revue;Statut;Commentaires
R-001;2026-01-15;Cyber;Compromission compte privilegie administrateur via phishing cible;Cybercriminel externe;Active Directory + serveurs production;3;4;12;MFA partiel + sensibilisation annuelle;2;3;6;Reduire;RSSI;2026-04-15;En traitement;MFA conditionnel a generaliser + PAM en projet
R-002;2026-01-15;Cyber;Ransomware via piece jointe email non filtree;Cybercriminel organise;Postes utilisateurs + partages reseau;3;4;12;Antivirus + filtrage email basique;2;3;6;Reduire;DSI;2026-04-15;En traitement;EDR a deployer Q2 + sandbox email Q3
R-003;2026-01-15;Cyber;Exfiltration de donnees clients via SaaS non maitrise (shadow IT);Insider negligent;BDD clients dans SaaS externes;3;4;12;Aucune;3;4;12;Reduire;RSSI + DSI;2026-04-15;Ouvert;Cartographie SaaS a lancer + CASB a evaluer
R-004;2026-01-15;Conformite;Notification incident RGPD au-dela des 72h;Insider negligent;Processus + organisation;2;3;6;Procedure informelle existante;1;2;2;Reduire;DPO;2026-04-15;En traitement;Procedure formelle + exercice annuel
R-005;2026-01-15;Continuite;Indisponibilite du datacenter primaire >24h (incendie, inondation);Evenement physique;Datacenter primaire;1;4;4;Backup site secondaire mais PRA non teste;1;2;2;Reduire;DSI;2026-04-15;En traitement;Test PRA biannuel a planifier
R-006;2026-01-15;Tiers;Defaillance ou compromission du prestataire SaaS critique (CRM);Defaillance fournisseur;Donnees commerciales + processus vente;2;4;8;Contrat avec SLA + RGPD mais pas de strategie sortie;2;3;6;Transferer + reduire;Direction achats + RSSI;2026-04-15;Ouvert;Strategie de sortie a formaliser
R-007;2026-01-15;Cyber;Exploitation d'une vulnerabilite zero-day sur application exposee;Cybercriminel + APT;Application web e-commerce;2;4;8;WAF basique + patch tous les 30j;2;3;6;Reduire;DevSecOps;2026-04-15;En traitement;WAF avance + SLA patch a 7j
R-008;2026-01-15;Conformite;Sanction CNIL pour traitement sans base legale claire (marketing);Non-conformite;Donnees prospects;2;3;6;Bandeau cookies basique;1;2;2;Reduire;DPO + Marketing;2026-04-15;En traitement;Audit base legale + refonte CMP
R-009;2026-01-15;Cyber;Compromission supply chain logicielle (dependance NPM/PyPI);Cybercriminel sophistique;Pipeline CI/CD + production;2;4;8;Aucune analyse de dependance;2;3;6;Reduire;DevSecOps;2026-04-15;Ouvert;SCA (Snyk/Trivy) a integrer pipeline
R-010;2026-01-15;RH;Depart d'un administrateur cle sans documentation;Insider non-malveillant;Connaissance critique;3;3;9;Documentation incomplete;2;2;4;Reduire;DSI + RH;2026-04-15;En traitement;Plan de succession + documentation
